,gamma,weighted,fold_set,brier_loss,loss,acc,roc-auc,recall
exp1,scale,"(True,)",0,0.19092,0.72852,0.76835,0.55996,0.17773
exp2,scale,"(False,)",0,0.19091,0.72841,0.76835,0.55995,0.17760
exp3,scale,"(True,)",1,0.19709,0.61215,0.75487,0.50640,0.01392
exp4,scale,"(False,)",1,0.19708,0.61217,0.75490,0.50640,0.01392
exp5,scale,"(True,)",2,0.19786,0.60146,0.74817,0.50523,0.05014
exp6,scale,"(False,)",2,0.19789,0.60160,0.74805,0.50522,0.05029
exp7,scale,"(True,)",0,0.24682,2.90000,0.75143,0.64280,0.01007
exp8,scale,"(False,)",0,0.24698,2.94827,0.75135,0.63987,0.00967
exp9,scale,"(True,)",1,0.23969,2.25639,0.74400,0.60490,0.11685
exp10,scale,"(False,)",1,0.23969,2.24706,0.74392,0.60496,0.11746
exp11,scale,"(True,)",2,0.23578,2.73851,0.75903,0.59707,0.01686
exp12,scale,"(False,)",2,0.23544,2.48802,0.75782,0.60294,0.01936
